institute,branch,seat_type,gender,or,cr,year,course,course_id
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,2420,3759,2016,"Indian Institute  of Technology Kharagpur_Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",75
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,3847,4436,2016,"Indian Institute  of Technology Kharagpur_Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",76
Indian Institute  of Technology Kharagpur,"Mathematics and Computing (5 Years, Integrated Master of Science)",OPEN,neutral,1043,1386,2016,"Indian Institute  of Technology Kharagpur_Mathematics and Computing (5 Years, Integrated Master of Science)",77
Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,622,1560,2016,"Indian Institute  of Technology Kharagpur_Mechanical Engineering (4 Years, Bachelor of Technology)",78
Indian Institute  of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,1561,2299,2016,"Indian Institute  of Technology Kharagpur_Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",79
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3373,4222,2016,"Indian Institute  of Technology Kharagpur_Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",80
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,4414,4776,2016,"Indian Institute  of Technology Kharagpur_Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",81
Indian Institute  of Technology Kharagpur,"Mining Engineering  (4 Years, Bachelor of Technology)",OPEN,neutral,4440,5502,2016,"Indian Institute  of Technology Kharagpur_Mining Engineering  (4 Years, Bachelor of Technology)",82
Indian Institute  of Technology Kharagpur,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,5606,6220,2016,"Indian Institute  of Technology Kharagpur_Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",83
Indian Institute  of Technology Kharagpur,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,6430,7423,2016,"Indian Institute  of Technology Kharagpur_Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",84
